序号,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,是否新高,量比,涨停统计,入选理由,所属行业
34,300557,理工光科,5.32249641418457,40.17,45.77,328942368,2609011292.1600003,2863161860.9100003,12.997590065002441,0.0,1,5.149791717529297,2/1,1,仪器仪表
40,300445,康斯特,4.7277936935424805,14.62,16.75,120687186,2020612407.4599998,3105726790.06,5.992844104766846,0.0,1,3.013890027999878,0/0,1,仪器仪表
39,300259,新天科技,4.736842155456543,3.98,4.56,177540843,3229643770.32,4655810049.6,5.516409397125244,0.0,1,4.605698108673096,0/0,1,仪器仪表
67,002865,钧达股份,1.2199699878692627,107.86,117.22,1293090032,20921219786.96,21444409170.2,6.241586685180664,-0.22201666235923767,0,1.3514238595962524,4/2,2,光伏设备
109,002992,宝明科技,-4.466367721557617,53.26,61.33,636003984,4174078606.1,9851296350.1,15.07386589050293,0.1692683845758438,0,0.9708883762359619,8/4,2,光学光电
57,301205,联特科技,1.9323670864105225,211.0,248.4,1692526240,3802220000.0,15208880000.0,43.87591552734375,0.0,1,1.0503406524658203,0/0,1,光学光电
18,603685,晨丰科技,9.974205017089844,12.79,12.79,180462663,2161534352.16,2161534352.16,8.607970237731934,0.0,1,2.559427499771118,2/2,3,光学光电
11,301045,天禄科技,10.837438583374023,24.75,26.8,244797607,1278257829.75,2553070014.0,19.704126358032227,0.0,1,3.9436047077178955,0/0,1,光学光电
43,605011,杭州热电,4.170403480529785,23.23,24.53,606150096,2813153000.0,9294323000.0,22.137413024902344,-0.12897677719593048,1,2.198983907699585,5/4,3,公用事业
79,603725,天安新材,0.25806453824043274,7.77,8.53,20189823,1595585040.0,1595585040.0,1.2743679285049438,0.0,1,0.9593873023986816,0/0,1,化学制品
108,603790,雅运股份,-4.402515888214111,13.68,15.74,157090273,2617804800.0,2617804800.0,6.007732391357422,0.0,0,0.992852509021759,6/3,2,化学制品
69,688658,悦康药业,1.0788382291793823,24.36,28.92,132255009,4984053076.8,10962000000.0,2.642225503921509,0.0,1,0.9843173623085022,0/0,1,化学制药
