序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率
48,301383,天键股份,39.7,-1.76,-0.71,31059,122283246.57,3.41,40.08,38.7,40.08,40.41,0.96,11.27,60.4,2.65
49,301320,豪江智能,21.25,-5.18,-1.16,74093,157566316.02,4.28,21.85,20.89,21.85,22.41,0.82,17.25,74.69,3.72
50,688623,双元科技,88.0,-0.05,-0.04,3201,28153870.0,0.85,88.35,87.6,87.8,88.04,0.46,2.38,50.17,2.51
51,688576,西山科技,114.78,1.4,1.58,5124,58956047.0,3.83,116.5,112.17,113.66,113.2,0.8,4.32,63.5,2.95
52,301323,新莱福,47.31,-1.44,-0.69,46303,219699882.47,5.75,48.78,46.02,47.05,48.0,0.5,19.8,43.9,2.64
53,688570,天玛智控,26.38,0.04,0.01,13647,35933560.0,1.25,26.48,26.15,26.35,26.37,0.39,2.51,30.56,2.98
54,688523,航天环宇,26.25,0.15,0.04,7864,20628077.0,1.68,26.47,26.03,26.21,26.21,0.45,2.32,479.14,6.92
55,301310,鑫宏业,63.81,-1.31,-0.85,7566,48486790.86,3.57,65.59,63.28,64.0,64.66,0.64,3.42,43.24,2.86
56,688593,新相微,17.48,1.86,0.32,44051,76808143.0,6.35,17.8,16.71,17.12,17.16,0.95,6.44,100.05,5.07
57,001373,翔腾新材,45.5,-7.97,-3.94,68882,318456438.07,6.19,48.06,45.0,46.3,49.44,0.66,40.11,77.28,3.57
58,301353,普莱得,35.75,-6.8,-2.61,34113,123029080.52,6.13,37.71,35.36,37.7,38.36,0.63,17.95,44.32,2.26
59,301337,亚华电子,34.64,-3.0,-1.07,24573,84333169.12,3.92,34.93,33.53,34.93,35.71,0.8,9.95,219.53,3.22
60,301252,同星科技,50.8,4.53,2.2,56171,281652741.62,10.1,51.92,47.01,47.1,48.6,0.81,28.09,39.5,3.86
61,688562,航天软件,26.04,-0.72,-0.19,20181,52754036.0,1.83,26.44,25.96,26.0,26.23,0.51,3.07,-4277.94,5.91
62,001282,三联锻造,31.0,0.03,0.01,7286,22601257.88,1.45,31.26,30.81,30.96,30.99,0.41,2.62,45.98,2.63
63,301399,英特科技,51.52,0.84,0.43,16932,87445408.46,3.84,52.49,50.53,51.0,51.09,0.4,8.12,87.46,3.53
64,301305,朗坤环境,21.16,-3.38,-0.74,40742,86655387.72,3.56,21.89,21.11,21.68,21.9,0.61,7.28,30.41,1.56
65,688458,美芯晟,79.39,-1.03,-0.83,3446,27379100.0,3.19,81.09,78.53,79.27,80.22,0.4,1.91,-351.87,3.1
66,001324,长青科技,21.14,-1.26,-0.27,17481,37060765.29,2.06,21.47,21.03,21.47,21.41,0.45,5.17,56.15,2.76
67,688581,安杰思,121.2,5.39,6.2,6281,75337851.0,7.24,121.91,113.58,116.23,115.0,1.42,4.86,51.23,3.47
68,688361,中科飞测-U,72.09,1.05,0.75,15306,110233482.0,4.42,73.84,70.69,71.01,71.34,0.61,2.55,183.86,10.03
69,301428,世纪恒通,37.7,-0.03,-0.01,33953,125709461.5,6.82,38.38,35.81,36.96,37.71,0.65,14.51,52.31,3.17
70,688552,航天南湖,24.46,0.66,0.16,17643,43238515.0,2.43,24.79,24.2,24.3,24.3,0.78,2.3,-120.78,3.24
71,301332,德尔玛,14.45,-1.03,-0.15,66529,96882474.54,2.67,14.8,14.41,14.48,14.6,0.59,7.87,71.77,2.47
72,301382,蜂助手,40.68,2.73,1.08,34033,137011982.4,4.44,40.87,39.11,39.58,39.6,0.5,9.4,58.68,4.39
73,688512,慧智微-U,20.24,-0.83,-0.17,11011,22404142.0,1.67,20.56,20.22,20.31,20.41,0.57,2.27,-34.91,3.78
74,001380,华纬科技,31.93,0.09,0.03,7534,23982007.53,1.5,32.0,31.52,31.71,31.9,0.53,2.39,37.91,2.93
75,301325,曼恩斯特,101.79,-0.01,-0.01,4168,42347577.1,2.62,103.0,100.33,101.12,101.8,0.54,1.68,45.4,4.49
76,688479,友车科技,29.1,0.59,0.17,5218,15155757.0,1.94,29.3,28.74,29.0,28.93,0.49,1.6,28.92,2.31
77,688469,中芯集成-U,5.61,0.18,0.01,130237,73029235.0,0.71,5.63,5.59,5.6,5.6,0.74,1.25,-19.71,3.2
78,603172,万丰股份,17.36,-2.25,-0.4,18211,31831807.0,3.27,17.89,17.31,17.8,17.76,1.03,5.57,37.63,2.29
79,301390,经纬股份,46.05,4.85,2.13,14862,68001470.95,4.6,46.68,44.66,45.13,43.92,0.71,9.91,-1200.6,3.1
80,688249,晶合集成,20.63,3.05,0.61,169661,352352137.0,6.79,21.28,19.92,20.13,20.02,1.16,4.86,-31.3,1.84
81,301293,三博脑科,78.15,-0.82,-0.65,26888,210083649.93,4.05,79.79,76.6,78.8,78.8,1.0,7.88,124.9,5.41
82,301360,荣旗科技,87.29,-3.23,-2.91,5575,48689231.2,3.46,88.82,85.7,87.02,90.2,0.51,4.66,-179.31,4.28
83,688478,晶升股份,41.89,-0.78,-0.33,13079,54569758.0,2.56,42.39,41.31,42.39,42.22,0.76,4.58,594.01,3.76
84,301307,美利信,33.47,-0.39,-0.13,29787,100665074.33,2.8,34.32,33.38,33.49,33.6,0.39,6.34,31.67,2.21
85,688146,中船特气,39.93,-0.72,-0.29,13885,55710977.0,2.46,40.59,39.6,40.0,40.22,0.53,2.35,61.95,4.17
86,688352,颀中科技,14.24,-2.13,-0.31,120359,173915211.0,3.78,14.75,14.2,14.41,14.55,0.67,7.95,138.28,3.09
87,603137,恒尚节能,20.32,0.84,0.17,39502,80168610.0,3.57,20.6,19.88,20.38,20.15,1.99,12.34,10.18,2.46
88,688539,高华科技,39.9,0.1,0.04,6196,24587651.0,2.94,40.28,39.11,39.66,39.86,0.73,2.2,92.19,3.14
89,688507,索辰科技,121.0,-4.33,-5.48,5437,67407290.0,6.41,128.4,120.29,125.96,126.48,0.99,4.05,-94.84,2.63
90,301387,光大同创,47.0,-0.42,-0.2,12312,57788574.2,3.2,47.82,46.31,46.73,47.2,0.4,7.39,35.14,2.26
91,301357,北方长龙,49.49,-3.72,-1.91,18976,94579013.74,3.25,50.8,49.13,50.61,51.4,0.61,11.77,47.36,2.93
92,688433,华曙高科,36.32,-1.14,-0.42,22000,80003558.0,3.7,36.96,35.6,35.66,36.74,0.39,6.37,183.8,8.31
93,301429,森泰股份,23.34,0.17,0.04,21577,50423498.76,5.84,24.22,22.86,23.54,23.3,0.78,7.7,41.1,2.1
94,603135,中重科技,19.17,0.37,0.07,22545,43161315.0,1.26,19.24,19.0,19.0,19.1,0.5,2.58,43.57,1.9
95,603125,常青科技,28.42,-1.42,-0.41,11175,31823714.0,2.32,28.95,28.28,28.95,28.83,0.65,2.37,29.56,2.74
96,601133,柏诚股份,14.65,-0.81,-0.12,30892,45447725.0,1.35,14.84,14.64,14.82,14.77,0.61,2.45,47.36,2.92
97,601065,江盐集团,12.2,-2.01,-0.25,87558,107251505.0,1.69,12.39,12.18,12.34,12.45,0.96,5.64,14.03,2.09
98,601061,中信金属,8.74,-0.11,-0.01,80550,70462781.0,1.49,8.81,8.68,8.68,8.75,0.62,1.66,19.72,2.07
99,001367,海森药业,46.08,-1.09,-0.51,8879,41089767.98,3.09,47.27,45.83,46.1,46.59,1.01,5.33,31.34,2.68
100,001360,南矿集团,17.85,-4.75,-0.89,59176,106735901.24,4.22,18.55,17.76,18.54,18.74,1.07,11.84,61.72,2.82
101,001328,登康口腔,34.87,-2.46,-0.88,73925,252191712.11,4.2,34.9,33.4,34.8,35.75,1.06,17.53,46.5,2.83
102,001287,中电港,26.66,0.98,0.26,80301,213275405.82,2.54,26.83,26.16,26.49,26.4,0.62,4.36,71.17,4.18
103,001286,陕西能源,10.07,-0.1,-0.01,143179,143987362.4,0.69,10.1,10.03,10.07,10.08,0.7,1.97,11.03,1.76
104,688484,南芯科技,41.05,0.27,0.11,6177,25353668.0,1.39,41.27,40.7,40.9,40.94,0.32,1.13,140.4,2.97
105,688535,华海诚科,96.53,-2.2,-2.17,43576,424075764.0,7.39,100.96,93.67,93.67,98.7,0.6,26.52,468.56,4.74
106,688343,云天励飞-U,56.5,-0.76,-0.43,26738,151293635.0,2.78,57.46,55.88,56.29,56.93,0.79,3.59,-55.57,2.45
107,301281,科源制药,31.45,-1.63,-0.52,129921,415725746.18,8.13,33.4,30.8,32.93,31.97,4.74,50.57,26.53,1.66
108,301203,国泰环保,40.53,-8.49,-3.76,65887,262728779.55,7.63,41.41,38.03,40.3,44.29,1.01,38.6,26.27,1.48
109,301141,中科磁业,66.47,1.92,1.25,64364,426737253.88,9.49,69.1,62.91,62.91,65.22,0.7,31.75,112.38,2.86
110,688531,日联科技,147.4,-3.52,-5.37,4883,72456682.0,5.18,154.36,146.45,153.49,152.77,0.96,2.81,208.06,3.71
111,603162,海通发展,16.9,0.12,0.02,5247,8855869.0,1.13,16.99,16.8,16.88,16.88,1.01,0.86,33.63,2.98
112,600925,苏能股份,5.87,-0.34,-0.02,72449,42571391.0,0.34,5.89,5.87,5.88,5.89,0.89,1.05,11.75,2.8
113,301386,未来电器,28.37,-2.48,-0.72,63485,181770356.06,2.51,29.04,28.31,28.73,29.09,0.41,19.13,62.14,2.67
114,301314,科瑞思,55.31,-2.42,-1.37,13603,75415105.41,4.76,56.65,53.95,56.0,56.68,0.65,9.85,44.13,2.98
115,603291,联合水务,17.1,-2.23,-0.39,199468,343386460.0,7.26,18.1,16.83,18.1,17.49,1.26,47.13,105.91,4.64
116,603065,宿迁联盛,14.4,0.63,0.09,8387,12057726.0,1.05,14.45,14.3,14.45,14.31,0.5,2.0,33.6,2.93
117,301345,涛涛车业,51.35,1.26,0.64,9337,47539132.61,3.29,51.69,50.02,50.53,50.71,0.55,3.9,40.25,2.09
118,301378,通达海,58.38,-2.37,-1.42,5854,34264602.86,2.07,59.3,58.06,59.29,59.8,1.12,3.39,181.5,2.89
119,301246,宏源药业,32.1,-2.28,-0.75,19997,64291103.35,1.95,32.44,31.8,32.41,32.85,1.24,4.51,49.58,2.96
120,301439,泓淋电力,17.86,0.34,0.06,26037,46508817.66,1.57,17.95,17.67,17.8,17.8,0.39,2.82,42.27,2.64
121,603073,彩蝶实业,19.48,0.1,0.02,8260,16090280.0,1.23,19.57,19.33,19.35,19.46,0.58,2.85,31.84,1.88
122,603282,亚光股份,30.71,0.03,0.01,6533,20068477.0,1.3,30.91,30.51,30.7,30.7,0.57,1.95,25.06,3.62
123,603153,上海建科,18.31,1.95,0.35,97984,182794757.0,5.85,19.3,18.25,18.88,17.96,2.87,17.82,95.11,2.37
124,001368,通达创智,25.92,-1.11,-0.29,34177,88394198.86,2.94,26.25,25.48,25.69,26.21,0.7,12.21,23.43,2.17
125,601121,宝地矿业,7.55,-0.13,-0.01,23278,17558797.0,0.79,7.58,7.52,7.56,7.56,0.72,1.16,48.27,2.1
126,688502,茂莱光学,190.0,-4.07,-8.07,4520,87072215.0,5.1,199.43,189.32,195.91,198.07,0.46,3.75,179.5,8.69
127,301157,华塑科技,51.15,-3.36,-1.78,11372,58798775.36,3.48,52.88,51.04,52.0,52.93,0.65,7.99,171.11,2.99
128,001278,一彬科技,22.24,0.36,0.08,10672,23652455.0,1.94,22.33,21.9,22.08,22.16,0.52,3.45,36.45,2.27
129,001366,播恩集团,15.34,-1.35,-0.21,13885,21392161.06,2.32,15.64,15.28,15.51,15.55,1.06,3.44,33.27,2.97
130,301322,绿通科技,58.83,-4.91,-3.04,11248,67190894.75,4.98,61.77,58.69,61.6,61.87,0.85,4.52,25.62,2.21
131,603061,金海通,110.96,-1.41,-1.59,7797,87063945.0,2.13,113.2,110.8,112.56,112.55,0.53,5.2,52.18,4.95
132,001337,四川黄金,34.31,-0.98,-0.34,106002,363586446.7,4.68,35.12,33.5,33.88,34.65,0.66,17.67,58.24,11.91
133,688522,纳睿雷达,54.9,-2.4,-1.35,9493,52631340.0,3.2,56.57,54.77,56.25,56.25,0.48,2.65,250.32,3.93
134,301408,华人健康,18.34,-0.33,-0.06,53039,97528146.73,5.05,18.85,17.92,18.3,18.4,1.48,9.41,62.21,3.95
135,001311,多利科技,54.94,-2.5,-1.41,20685,114766854.04,3.87,56.88,54.7,56.36,56.35,0.63,4.5,23.68,2.59
136,001225,和泰机电,44.22,-0.02,-0.01,2045,9041599.6,0.99,44.47,44.03,44.25,44.23,0.45,1.26,22.79,2.1
137,688486,龙迅股份,95.01,-2.69,-2.63,2026,19584978.0,5.0,99.38,94.5,97.08,97.64,0.48,1.36,225.38,4.94
138,301303,真兰仪表,22.51,-0.62,-0.14,14289,32451368.02,2.03,22.96,22.5,22.96,22.65,0.91,2.06,33.19,2.33
139,603190,亚通精工,29.61,0.27,0.08,10095,29781200.0,1.66,29.71,29.22,29.53,29.53,0.37,3.36,16.27,1.81
140,688307,中润光学,30.43,-1.3,-0.4,8077,24644122.0,4.18,31.39,30.1,31.07,30.83,0.61,4.43,-706.6,3.36
141,603307,扬州金泉,48.78,1.04,0.5,7856,38292674.0,2.88,49.28,47.89,48.3,48.28,1.25,4.69,13.9,2.8
142,001260,坤泰股份,20.87,-1.42,-0.3,13164,27593168.92,1.79,21.2,20.82,21.19,21.17,0.48,4.58,64.3,3.28
143,001314,亿道信息,39.31,1.11,0.43,14491,56876377.23,3.29,39.68,38.4,38.8,38.88,0.62,4.13,54.31,2.8
144,688515,裕太微-U,147.0,-2.82,-4.26,5284,78363049.0,4.63,152.12,145.12,151.58,151.26,0.86,2.9,-109.17,6.07
145,301419,阿莱德,39.83,0.5,0.2,14795,59231154.0,3.23,40.58,39.3,39.7,39.63,0.4,6.24,97.1,4.4
146,301358,湖南裕能,43.62,-0.52,-0.23,36428,160247679.2,3.6,44.68,43.1,44.07,43.85,0.89,2.92,29.37,3.31
147,301373,凌玮科技,32.53,-0.61,-0.2,3756,12269966.6,1.59,32.99,32.47,32.57,32.73,0.47,1.49,35.25,2.47
148,301260,格力博,22.9,0.31,0.07,19787,45254273.91,1.49,23.05,22.71,22.75,22.83,0.6,1.73,31.82,2.21
149,601059,信达证券,14.36,0.42,0.06,118511,170320090.0,3.29,14.57,14.1,14.23,14.3,0.81,3.65,53.93,2.81
150,603281,江瀚新材,31.11,-0.51,-0.16,7061,22074159.0,1.44,31.53,31.08,31.53,31.27,0.77,0.76,18.81,2.71
151,603173,福斯达,28.62,1.53,0.43,8985,25536251.0,4.33,29.0,27.78,28.19,28.19,0.71,2.25,32.48,3.54
152,688435,英方软件,67.83,2.25,1.49,12120,82028677.0,6.8,69.98,65.47,66.63,66.34,1.37,6.58,-382.33,5.05
153,301317,鑫磊股份,25.46,2.25,0.56,12903,32715316.04,3.57,25.6,24.71,24.88,24.9,1.0,3.28,56.15,3.73
154,688485,九州一轨,14.56,-0.41,-0.06,6314,9229861.0,1.44,14.73,14.52,14.6,14.62,0.67,1.89,-37.29,1.67
155,688506,百利天恒-U,87.29,7.77,6.29,15136,130703385.0,7.77,88.13,81.84,81.84,81.0,1.49,4.34,-52.45,45.83
156,688525,佰维存储,77.91,1.16,0.89,33757,261702020.0,4.88,78.67,74.91,76.65,77.02,0.37,9.23,-66.51,14.61
157,301297,富乐德,22.34,-0.76,-0.17,25311,56523518.69,2.89,22.66,22.01,22.28,22.51,0.37,3.22,107.58,5.58
158,301105,鸿铭股份,37.95,1.42,0.53,2775,10471000.0,2.19,37.97,37.15,37.55,37.42,0.95,2.22,354.5,2.07
159,688496,清越科技,16.16,1.19,0.19,36795,60338338.0,6.2,16.89,15.9,15.96,15.97,1.0,4.09,432.64,5.82
160,688475,萤石网络,40.87,0.94,0.38,10236,41870798.0,4.49,41.7,39.88,40.49,40.49,0.73,1.1,63.04,4.8
161,001301,尚太科技,51.81,-0.27,-0.14,7232,37596293.0,1.52,52.39,51.6,52.0,51.95,0.7,1.11,14.6,2.6
162,301301,川宁生物,8.9,0.56,0.05,63477,56387856.11,1.36,8.92,8.8,8.81,8.85,1.15,2.85,28.19,3.2
163,301255,通力科技,48.0,-9.67,-5.14,101856,493929912.78,4.5,49.88,47.49,47.49,53.14,0.91,37.45,75.08,5.34
164,688410,山外山,48.31,-0.1,-0.05,4509,21942813.0,3.97,49.8,47.88,48.57,48.36,0.84,1.25,23.44,4.4
165,301280,珠城科技,37.39,0.24,0.09,7953,29948429.37,3.43,38.17,36.89,37.17,37.3,0.53,3.4,26.33,2.25
166,688147,微导纳米,50.65,-1.65,-0.85,11726,59610131.0,3.48,51.9,50.11,51.34,51.5,0.52,2.79,-5283.98,11.73
167,688141,杰华特,36.73,-0.89,-0.33,9912,36638293.0,2.29,37.49,36.64,37.06,37.06,0.9,1.89,-71.82,5.32
168,601136,首创证券,15.09,1.28,0.19,360588,547286714.0,6.64,15.55,14.56,14.7,14.9,1.13,13.19,58.62,3.35
169,688498,源杰科技,226.98,2.71,5.98,15841,361287463.0,5.91,234.49,221.42,225.87,221.0,0.81,8.55,406.42,9.14
170,688172,燕东微,21.9,-0.32,-0.07,17915,39304353.0,1.59,22.09,21.74,21.9,21.97,0.42,1.42,73.68,1.82
171,301265,华新环保,11.94,-1.24,-0.15,35910,43097201.6,1.82,12.15,11.93,12.0,12.09,0.49,4.74,32.6,1.82
172,301398,星源卓镁,62.88,3.42,2.08,103651,627773862.81,13.29,65.08,57.0,57.18,60.8,0.85,53.78,74.24,5.08
173,301368,丰立智能,49.45,1.17,0.57,30344,150285305.65,3.17,50.35,48.8,48.98,48.88,0.63,10.08,185.22,6.22
174,688143,长盈通,31.22,-2.44,-0.78,9526,30048658.0,4.28,32.5,31.13,31.47,32.0,1.12,3.61,-113.31,3.19
175,001223,欧克科技,84.56,2.0,1.66,7786,65904474.0,6.01,86.49,81.51,82.91,82.9,1.0,4.67,47.85,3.13
176,688503,聚和材料,84.3,-0.95,-0.81,10182,85558129.0,3.94,85.94,82.59,84.2,85.11,1.16,2.68,28.18,3.03
177,688420,美腾科技,34.15,-1.59,-0.55,3611,12419162.0,2.36,34.88,34.06,34.88,34.7,0.58,1.64,150.34,2.13
178,688084,晶品特装,72.0,-1.23,-0.9,1291,9376681.0,2.72,73.73,71.75,72.95,72.9,0.66,0.71,-130.87,3.28
179,601022,宁波远洋,10.57,-0.94,-0.1,35080,37179360.0,1.31,10.69,10.55,10.58,10.67,0.82,2.68,22.04,2.7
180,001333,光华股份,25.66,0.59,0.15,3727,9542143.0,1.22,25.73,25.42,25.43,25.51,0.61,1.16,33.5,2.19
181,001256,炜冈科技,18.14,-1.63,-0.3,16788,30646135.76,2.22,18.5,18.09,18.32,18.44,0.37,4.71,34.68,2.47
182,688489,三未信安,54.8,-0.9,-0.5,11485,63394616.0,2.98,55.99,54.34,55.58,55.3,0.87,4.54,-412.4,3.38
183,301391,卡莱特,97.34,-1.26,-1.24,3555,34991282.76,4.53,101.5,97.03,99.98,98.58,0.75,2.23,56.61,3.29
184,301311,昆船智能,27.48,4.85,1.27,120184,329065418.59,10.15,28.48,25.82,26.04,26.21,1.04,20.03,256.92,3.71
185,301290,东星医疗,33.35,4.22,1.35,19249,63177184.04,4.84,33.46,31.91,32.08,32.0,5.54,8.04,46.42,1.55
186,688480,赛恩斯,29.03,-1.56,-0.46,3228,9402941.0,1.7,29.43,28.93,29.43,29.49,0.62,1.59,51.36,3.26
187,301377,鼎泰高科,20.77,-2.03,-0.43,37027,77434458.74,3.35,21.36,20.65,21.2,21.2,0.38,7.41,31.19,3.82
188,301365,矩阵股份,19.0,8.94,1.56,231375,474473836.3,11.07,20.93,19.0,20.93,17.44,9.62,51.42,54.3,2.0
189,301165,锐捷网络,51.6,0.8,0.41,33718,174362619.88,4.36,52.55,50.32,50.93,51.19,0.83,5.49,61.39,7.39
190,688376,美埃科技,33.58,-2.33,-0.8,7283,24803019.0,6.4,35.7,33.5,35.7,34.38,1.06,2.26,33.61,3.02
191,603130,云中马,24.16,2.85,0.67,73554,176767400.0,5.19,24.77,23.55,23.59,23.49,1.03,21.02,44.07,2.74
192,301335,天元宠物,25.0,0.68,0.17,4859,12125770.49,1.97,25.13,24.64,24.83,24.83,0.77,1.54,57.96,1.68
193,688362,甬矽电子,40.21,-7.78,-3.39,187098,804017690.0,12.89,45.62,40.0,42.5,43.6,1.11,38.98,-82.17,6.66
194,301361,众智科技,25.42,-0.78,-0.2,26003,66485900.82,2.93,25.98,25.23,25.6,25.62,0.3,8.94,47.27,2.89
195,301277,新天地,20.13,1.0,0.2,51993,103872577.33,3.26,20.28,19.63,19.91,19.93,2.15,10.39,21.55,3.01
196,001338,永顺泰,17.38,-2.85,-0.51,63269,110242213.0,2.79,17.78,17.28,17.62,17.89,0.86,5.04,62.2,2.7
197,301356,天振股份,22.01,-0.32,-0.07,7093,15612393.09,1.9,22.29,21.87,22.29,22.08,0.81,1.31,24.92,1.43
198,301396,宏景科技,36.0,8.11,2.7,77298,276398592.77,13.6,37.53,33.0,33.2,33.3,2.56,28.2,417.82,3.17
199,688432,有研硅,14.88,0.07,0.01,18105,27010054.0,1.82,15.04,14.77,14.87,14.87,0.42,1.21,60.09,4.58
200,301388,欣灵电气,26.25,0.15,0.04,21196,55318022.38,2.44,26.45,25.81,26.0,26.21,0.32,8.28,34.2,2.78
