序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率
177,601136,首创证券,17.75,-0.17,-0.03,984232,1783108414.0,8.49,18.88,17.37,17.47,17.78,0.89,36.01,68.95,4.12
178,688498,源杰科技,191.93,5.46,9.93,29895,557611909.0,10.08,194.98,176.63,183.22,182.0,1.39,16.13,343.66,7.73
179,688172,燕东微,21.96,0.55,0.12,17871,39192206.0,1.14,22.06,21.81,21.84,21.84,0.7,1.42,73.88,1.82
180,301265,华新环保,12.03,-2.35,-0.29,67312,81296918.04,3.41,12.37,11.95,12.37,12.32,0.61,8.89,32.84,1.83
181,301398,星源卓镁,84.3,12.18,9.15,124022,989104033.4,17.33,86.5,73.48,75.48,75.15,1.15,64.35,99.53,6.81
182,301368,丰立智能,44.7,1.02,0.45,22676,99977301.02,2.82,44.7,43.45,44.44,44.25,0.71,7.53,167.43,5.63
183,688143,长盈通,31.31,2.35,0.72,15107,46360859.0,6.11,31.58,29.71,30.76,30.59,2.33,5.72,-113.64,3.2
184,001223,欧克科技,79.77,-1.52,-1.23,6902,55215960.74,3.91,81.8,78.63,80.5,81.0,0.61,4.14,45.14,2.96
185,688503,聚和材料,82.12,-0.82,-0.68,6030,49726533.0,2.78,84.0,81.7,82.88,82.8,0.48,1.59,27.45,2.95
186,688420,美腾科技,32.22,-0.71,-0.23,4042,13075365.0,1.36,32.57,32.13,32.43,32.45,0.46,1.83,141.84,2.01
187,688084,晶品特装,71.15,-0.48,-0.34,2137,15176762.0,2.01,71.76,70.32,70.55,71.49,1.17,1.17,-129.33,3.24
188,601022,宁波远洋,10.83,1.21,0.13,64992,69934435.0,1.78,10.85,10.66,10.71,10.7,2.0,4.97,22.58,2.77
189,001333,光华股份,25.77,-0.04,-0.01,4215,10833622.42,0.66,25.8,25.63,25.74,25.78,0.75,1.32,33.64,2.2
190,001256,炜冈科技,18.29,-0.44,-0.08,9634,17652757.0,1.63,18.49,18.19,18.38,18.37,0.83,2.7,34.97,2.49
191,688489,三未信安,55.52,-0.18,-0.1,6482,36141102.0,2.54,56.56,55.15,55.84,55.62,0.66,2.56,-417.82,3.42
192,301391,卡莱特,98.1,0.75,0.73,2483,24452960.54,4.35,100.94,96.7,97.1,97.37,0.87,1.56,57.05,3.31
193,301311,昆船智能,27.42,-2.83,-0.8,93859,256894754.32,4.54,28.21,26.93,28.05,28.22,0.67,15.64,256.36,3.7
194,301290,东星医疗,32.41,-1.25,-0.41,7057,22971077.69,1.95,32.97,32.33,32.83,32.82,0.91,2.95,45.11,1.5
195,688480,赛恩斯,28.11,-2.23,-0.64,11655,32662477.0,5.53,29.27,27.68,28.98,28.75,1.93,5.76,49.73,3.16
196,301377,鼎泰高科,20.21,-0.79,-0.16,19654,39554643.54,2.65,20.47,19.93,20.38,20.37,0.78,3.93,30.35,3.72
197,301365,矩阵股份,17.7,-5.75,-1.08,97705,175379800.13,7.19,18.89,17.54,18.73,18.78,0.61,21.71,50.58,1.87
198,301165,锐捷网络,51.1,3.63,1.79,62247,314733517.06,5.82,51.88,49.01,49.27,49.31,1.74,10.13,60.8,7.32
199,688376,美埃科技,33.3,0.3,0.1,6382,21278467.0,2.8,33.8,32.87,33.2,33.2,0.45,1.98,33.33,2.99
200,603130,云中马,24.65,-3.64,-0.93,48988,122085858.0,3.67,25.5,24.56,25.36,25.58,0.77,14.0,44.96,2.8
201,301335,天元宠物,25.2,-2.93,-0.76,16136,41017597.52,3.47,25.95,25.05,25.89,25.96,1.34,5.12,58.42,1.69
202,688362,甬矽电子,33.46,-1.62,-0.55,82839,277034771.0,5.2,34.38,32.61,34.11,34.01,0.65,17.26,-68.38,5.54
203,301361,众智科技,25.4,2.05,0.51,25178,63403666.4,3.82,25.47,24.52,25.0,24.89,1.24,8.66,47.23,2.89
204,301277,新天地,19.39,-2.51,-0.5,28894,56424952.44,2.71,19.84,19.3,19.76,19.89,0.79,5.77,20.76,2.9
205,001338,永顺泰,17.9,-1.81,-0.33,66175,118476657.54,2.69,18.2,17.71,17.96,18.23,0.94,5.28,64.06,2.78
206,301356,天振股份,22.82,-0.83,-0.19,10530,24018121.38,1.52,23.03,22.68,23.02,23.01,0.55,1.95,25.84,1.48
207,301396,宏景科技,31.91,-4.0,-1.33,31066,98989061.56,4.21,32.9,31.5,32.9,33.24,0.66,11.33,370.35,2.81
208,688432,有研硅,14.97,-0.47,-0.07,24554,36785560.0,1.2,15.1,14.92,15.04,15.04,0.92,1.64,60.46,4.61
209,301388,欣灵电气,25.65,-3.02,-0.8,26938,69377246.56,3.89,26.56,25.53,26.45,26.45,1.03,10.52,33.41,2.72
210,301359,东南电子,25.3,-1.56,-0.4,11933,30222131.21,2.53,25.77,25.12,25.77,25.7,0.66,5.56,65.95,2.64
211,603280,南方路机,24.43,-1.29,-0.32,13351,32653123.0,2.67,24.89,24.23,24.89,24.75,0.69,4.93,84.92,2.32
212,688419,耐科装备,38.08,-0.18,-0.07,15265,57771781.0,3.64,38.5,37.11,38.05,38.15,0.44,7.73,58.62,3.35
213,301267,华厦眼科,41.16,-0.94,-0.39,39873,164415126.45,3.13,41.9,40.6,41.35,41.55,0.74,4.43,57.52,6.78
214,301379,天山电子,36.38,7.7,2.6,112030,391144809.57,9.59,36.39,33.15,33.73,33.78,1.41,44.21,34.96,3.03
215,301367,怡和嘉业,145.82,-1.98,-2.94,7670,112624948.83,3.71,150.73,145.21,148.4,148.76,0.85,4.79,15.01,3.54
216,301230,泓博医药,45.22,-0.66,-0.3,16664,76306665.72,3.47,46.53,44.95,45.45,45.52,0.79,6.87,79.65,4.45
217,301389,隆扬电子,17.5,-0.34,-0.06,11211,19590752.86,1.2,17.58,17.37,17.49,17.56,0.72,1.58,64.43,2.31
218,001299,美能能源,16.37,1.8,0.29,23669,38545091.45,3.42,16.54,15.99,16.08,16.08,1.73,5.05,36.06,2.46
219,001298,好上好,23.22,-1.65,-0.39,11003,25600884.43,2.41,23.71,23.14,23.7,23.61,0.88,3.16,187.77,2.2
220,688152,麒麟信安,120.95,5.28,6.07,28975,349549662.0,11.03,127.0,114.33,117.0,114.88,1.86,16.43,-1799.14,7.35
221,688372,伟测科技,99.13,2.83,2.73,10175,101431004.0,7.63,102.77,95.41,96.38,96.4,1.16,4.17,102.88,4.82
222,688291,金橙子,31.88,1.69,0.53,23703,74333661.0,3.86,31.92,30.71,31.7,31.35,1.29,9.69,66.72,3.63
223,301223,中荣股份,19.35,-0.62,-0.12,11254,21760668.89,1.03,19.5,19.3,19.5,19.47,0.47,2.33,18.39,1.38
224,001322,箭牌家居,18.98,-3.7,-0.73,118221,226868285.34,4.57,19.66,18.76,19.51,19.71,0.77,12.24,1479.63,4.0
225,688426,康为世纪,32.9,-3.55,-1.21,20103,66981697.0,6.86,34.43,32.09,34.12,34.11,2.25,8.0,231.38,2.12
226,301380,挖金客,44.36,1.23,0.54,10085,44373275.91,3.97,44.69,42.95,43.66,43.82,0.9,5.93,55.08,3.41
227,301273,瑞晨环保,30.73,-1.92,-0.6,4521,13918398.48,2.23,31.35,30.65,31.34,31.33,1.05,2.52,-169.2,2.26
228,688244,永信至诚,70.99,-0.48,-0.34,4889,34744665.0,4.57,72.83,69.57,71.0,71.33,0.78,3.32,-74.69,4.83
229,603151,邦基科技,17.03,-1.45,-0.25,9140,15599911.0,1.56,17.25,16.98,17.25,17.28,1.19,2.18,30.57,2.45
230,301299,卓创资讯,56.14,2.73,1.49,24625,135918846.12,7.74,57.0,52.77,53.4,54.65,1.56,16.42,49.62,5.09
231,001300,三柏硕,12.83,-0.85,-0.11,9765,12540104.38,1.08,12.93,12.79,12.93,12.94,0.68,1.6,204.4,2.9
232,688061,灿瑞科技,46.83,1.47,0.68,6286,29192619.0,2.86,47.0,45.68,46.12,46.15,0.92,2.31,-987.61,2.13
233,688031,星环科技-U,101.09,2.55,2.51,11190,112356500.0,5.88,102.9,97.1,100.0,98.58,0.96,3.89,-35.74,7.51
234,603163,圣晖集成,37.67,-0.11,-0.04,5720,21543635.0,2.86,38.27,37.19,37.74,37.71,0.85,2.29,26.0,3.85
235,301316,慧博云通,27.6,20.0,4.6,135775,348360366.27,21.04,27.6,22.76,23.11,23.0,3.1,33.94,212.8,11.68
236,688459,哈铁科技,9.83,0.31,0.03,8694,8537801.0,0.71,9.85,9.78,9.8,9.8,0.46,1.0,-1388.13,1.47
237,301363,美好医疗,41.73,0.94,0.39,5444,22496950.78,2.93,41.82,40.61,41.14,41.34,0.65,1.35,39.14,5.69
238,688073,毕得医药,77.53,5.92,4.33,41438,324449026.0,17.35,82.75,70.05,71.26,73.2,2.42,21.21,47.7,3.51
239,603052,可川科技,29.91,-1.71,-0.52,7659,22976825.0,1.94,30.4,29.81,30.4,30.43,0.89,3.18,38.65,2.69
240,688409,富创精密,85.93,-0.46,-0.4,10613,90902117.0,2.13,86.75,84.91,86.75,86.33,0.53,2.27,114.02,3.95
241,301313,凡拓数创,39.55,1.57,0.61,46037,176378449.09,11.92,40.96,36.32,38.83,38.94,0.89,18.0,-2415.62,3.93
242,001269,欧晶科技,54.07,-6.53,-3.78,47181,260130770.86,6.85,57.69,53.73,57.69,57.85,2.1,9.81,15.11,8.36
243,001255,博菲电气,36.67,0.74,0.27,5289,19248637.04,1.79,36.76,36.11,36.49,36.4,0.87,2.64,39.09,4.01
244,688275,万润新能,90.19,-0.56,-0.51,2007,18090628.0,0.96,90.68,89.81,90.11,90.7,0.83,0.68,-84.17,1.38
245,688137,近岸蛋白,54.69,1.77,0.95,5769,31779408.0,4.95,55.98,53.32,53.74,53.74,1.81,3.4,86.12,1.76
246,301319,唯特偶,53.55,-0.3,-0.16,5519,29235238.0,2.66,53.88,52.45,53.75,53.71,1.31,3.76,28.98,2.96
247,301285,鸿日达,13.62,-4.29,-0.61,58886,81016762.0,6.18,14.38,13.5,14.25,14.23,0.79,11.4,-86.92,2.73
248,301176,逸豪新材,16.62,-0.6,-0.1,13508,22424124.0,2.45,16.82,16.41,16.7,16.72,0.85,3.29,-252.96,1.71
249,688392,骄成超声,89.67,5.74,4.87,15167,134765645.0,7.56,90.8,84.39,84.8,84.8,1.3,5.94,83.68,6.04
250,688252,天德钰,18.57,-0.75,-0.14,11218,20802318.0,2.78,18.8,18.28,18.8,18.71,0.96,3.11,82.66,4.05
251,688387,信科移动-U,7.32,-1.21,-0.09,89987,65831227.0,2.29,7.45,7.28,7.44,7.41,0.99,1.86,167.4,3.6
252,603057,紫燕食品,25.91,-1.14,-0.3,24498,64467172.0,5.61,27.27,25.8,26.2,26.21,2.09,5.83,59.77,6.04
253,301366,一博科技,36.03,-1.72,-0.63,34078,122603711.56,3.93,36.89,35.45,36.67,36.66,0.55,9.27,60.2,2.58
254,301227,森鹰窗业,32.75,-9.43,-3.41,68423,232080794.93,8.9,35.8,32.58,34.06,36.16,1.11,30.7,-138.47,1.84
255,688132,邦彦技术,24.38,-0.49,-0.12,10816,26456327.0,1.8,24.75,24.31,24.58,24.5,1.02,3.07,78.81,2.33
256,301369,联动科技,74.95,0.92,0.68,14153,105255800.19,3.45,75.24,72.68,74.26,74.27,0.53,8.13,1072.53,3.63
257,688448,磁谷科技,29.0,-1.23,-0.36,3535,10283500.0,1.7,29.38,28.88,29.36,29.36,0.87,2.09,-422.49,2.2
258,688428,诺诚健华-U,11.65,-2.51,-0.3,65656,77456580.0,5.02,12.16,11.56,11.96,11.95,1.28,2.71,-414.19,2.73
259,301331,恩威医药,39.21,-2.07,-0.83,9768,38547618.0,2.47,40.09,39.1,39.97,40.04,1.06,5.57,24.85,2.57
260,301326,捷邦科技,34.71,-0.89,-0.31,3656,12713186.0,2.14,35.36,34.61,35.02,35.02,0.51,2.17,-52.73,1.84
261,001332,锡装股份,40.4,3.25,1.27,20418,83191164.69,5.55,41.89,39.72,39.9,39.13,4.31,7.56,20.09,2.08
262,688184,帕瓦股份,26.33,0.3,0.08,2446,6427735.0,1.41,26.4,26.03,26.03,26.25,0.9,0.72,164.95,1.38
263,688035,德邦科技,57.77,1.21,0.69,23668,136199586.0,4.84,58.95,56.19,57.07,57.08,0.71,7.69,85.4,3.76
264,301327,华宝新能,82.05,-1.41,-1.17,14217,116887957.08,1.89,83.22,81.65,82.82,83.22,0.92,4.46,-86.27,1.66
265,301309,万得凯,27.93,-0.99,-0.28,2915,8133642.91,2.06,28.3,27.72,28.3,28.21,0.7,1.17,47.24,2.07
266,001238,浙江正特,23.59,-0.51,-0.12,11038,26172118.05,1.9,23.98,23.53,23.54,23.71,0.76,4.01,28.68,2.34
267,688455,科捷智能,14.12,-0.42,-0.06,5573,7847020.0,1.34,14.19,14.0,14.18,14.18,0.85,1.38,-24.88,2.02
268,301161,唯万密封,23.5,-1.67,-0.4,44867,105133072.27,5.52,24.4,23.08,23.92,23.9,1.56,15.48,40.84,3.09
269,688391,钜泉科技,63.39,-0.66,-0.42,2769,17576482.0,1.03,63.95,63.29,63.79,63.81,0.88,1.5,38.33,2.72
270,301205,联特科技,123.86,0.67,0.82,50841,621176218.59,4.77,124.77,118.9,123.04,123.04,0.78,15.67,151.7,11.3
271,688114,华大智造,88.21,1.0,0.87,2730,24004376.0,2.86,89.3,86.8,87.0,87.34,0.6,0.79,-61.18,4.01
272,603182,嘉华股份,15.73,-0.88,-0.14,11601,18295127.0,1.07,15.89,15.72,15.78,15.87,0.86,2.82,20.9,2.73
273,301349,信德新材,57.7,-2.76,-1.64,21254,122155226.22,3.69,58.79,56.6,58.58,59.34,0.64,8.33,51.67,2.13
274,301339,通行宝,22.59,-3.63,-0.85,25415,57880685.35,3.84,23.4,22.5,23.4,23.44,0.95,4.24,46.72,3.69
275,301276,嘉曼服饰,28.41,-8.27,-2.56,89062,257043455.78,4.97,29.8,28.26,29.7,30.97,1.04,32.99,11.9,1.62
276,301328,维峰电子,51.92,-2.19,-1.16,4579,23908511.2,3.03,53.22,51.61,52.81,53.08,0.49,1.75,29.95,3.1
277,301231,荣信文化,29.41,-4.17,-1.28,25738,76519469.89,5.67,30.96,29.22,30.7,30.69,0.78,12.2,181.59,2.71
278,001331,胜通能源,17.67,0.8,0.14,8239,14561125.46,1.83,17.85,17.53,17.53,17.53,1.07,1.96,195.65,1.91
279,001283,豪鹏科技,49.09,0.08,0.04,3563,17394563.0,1.57,49.18,48.41,48.84,49.05,0.68,1.78,685.93,1.8
280,688293,奥浦迈,50.3,0.8,0.4,14904,76839818.0,7.21,52.86,49.26,49.9,49.9,1.21,6.02,59.66,2.67
281,301296,新巨丰,15.97,-0.99,-0.16,5075,8119301.48,1.74,16.18,15.9,16.07,16.13,0.98,0.81,40.1,2.79
282,301283,聚胶股份,36.77,-0.59,-0.22,9268,34249639.84,2.68,37.64,36.65,36.94,36.99,1.48,4.63,48.29,2.11
283,688351,微电生理-U,17.57,-3.04,-0.55,34425,61927143.0,6.57,18.69,17.5,18.07,18.12,1.23,5.14,-221.65,4.96
284,603237,五芳斋,29.83,-1.32,-0.4,11458,34509072.0,2.81,30.63,29.78,30.3,30.23,1.03,3.25,-16.78,2.72
285,301270,汉仪股份,45.19,-1.42,-0.65,7937,35784186.0,2.57,45.89,44.71,45.85,45.84,0.78,3.96,167.48,4.31
286,301115,建科股份,23.92,-1.85,-0.45,19424,46757038.65,1.97,24.35,23.87,24.15,24.37,0.41,4.76,42.81,1.72
287,001259,利仁科技,29.4,-0.44,-0.13,6343,18554236.0,1.63,29.53,29.05,29.4,29.53,0.61,3.43,31.28,2.86
288,688416,恒烁股份,63.0,-0.66,-0.42,20159,127169329.0,4.08,64.5,61.91,64.39,63.42,0.72,10.63,-69.7,3.1
289,301152,天力锂能,49.62,4.13,1.97,50237,240785106.34,8.54,49.96,45.89,47.61,47.65,1.69,18.01,3029.41,2.46
290,688439,振华风光,97.09,1.89,1.8,10654,102335283.0,2.82,97.2,94.51,95.29,95.29,0.81,2.38,37.7,4.61
291,301282,金禄电子,27.2,-0.55,-0.15,22559,61024819.24,2.34,27.37,26.73,27.16,27.35,0.77,5.97,55.93,2.52
292,688370,丛麟科技,27.97,-0.21,-0.06,4242,11827808.0,1.25,28.15,27.8,27.81,28.03,0.32,1.32,26.74,1.49
293,688247,宣泰医药,12.23,-2.24,-0.28,19368,23811220.0,2.16,12.49,12.22,12.49,12.51,1.41,4.32,179.62,4.79
294,301209,联合化学,25.11,0.97,0.24,8596,21428452.17,3.18,25.35,24.56,24.87,24.87,0.92,4.3,52.64,3.03
295,688381,帝奥微,30.68,0.76,0.23,6014,18422309.0,1.71,30.82,30.3,30.58,30.45,0.5,1.01,193.72,2.51
296,688271,联影医疗,138.7,-2.32,-3.29,16303,227311839.0,2.42,141.95,138.51,141.5,141.99,0.96,3.26,86.69,6.48
297,301300,远翔新材,32.68,0.55,0.18,4429,14396940.61,1.75,32.78,32.21,32.33,32.5,0.95,2.76,63.47,2.59
