时间,标题,简讯,date
2023-11-16 03:33:31,午评：创业板指低开低走跌1.68% 新能源赛道股集体调整,【午评：创业板指低开低走跌1.68% 新能源赛道股集体调整】财联社11月16日电，市场早盘震荡调整，创业板指领跌。盘面上，传媒股逆势走强，佳云科技、中信出版、省广集团、中国科传等涨停。算力租赁概念持续活跃，中装建设、真视通、众合科技涨停。小米汽车概念股开盘活跃，奥特佳、凯众股份涨停。华为昇腾概念股震荡走强，恒为科技、多伦科技涨停。下跌方面，光伏等新能源赛道股陷入调整，中信博等跌超5%。总体上个股跌多涨少，全市场超3900只个股下跌。沪深两市今日成交额5394亿，较上个交易日缩量1083亿。板块方面，传媒、华为昇腾、光刻机、算力租赁等板块涨幅居前，BC电池、CRO、次新股、小金属等板块跌幅居前。,2023-11-16
2023-11-16 03:27:43,财政部：提前下达2024年部分中央财政城镇保障性安居工程补助资金 共计425亿元,财政部：提前下达2024年部分中央财政城镇保障性安居工程补助资金预算，共计425亿元。,2023-11-16
2023-11-16 03:12:58,钙钛矿迎GW级产线时代 多家设备企业批量出货,【钙钛矿迎GW级产线时代 多家设备企业批量出货】本月以来，我国学界及产业界在钙钛矿电池领域接连取得突破，已有厂商在筹备GW级产线。财联社记者关注到，尽管电池企业仍面临投入与成本的压力，但钙钛矿加工设备“卖铲人”已率先尝到产业升级的红利。京山轻机、捷佳伟创、德龙激光相关人士均向财联社记者表示，已向客户批量供货并投入使用。其中，捷佳伟创透露，今年钙钛矿相关订单超2亿元。不过，上述公司均表示，目前相关业务规模还不算大。有相关企业人士称，钙钛矿量产还需等待至少2年。（财联社记者 武超）,2023-11-16
2023-11-16 03:09:54,独家|2023年国家医保谈判预计明天在北京举行 重磅品种云集,【独家|2023年国家医保谈判预计明天在北京举行 重磅品种云集】财联社11月16日电，蓝鲸记者今日从多位消息人士处获悉，2023年国家医保谈判预计将于明天（11月17日）在北京全国总工会国际交流中心举行，此次参与品种不仅有众多PD-1品种，例如恒瑞的卡瑞利珠单抗、信达生物的信迪利单抗、百济神州的替雷利珠单抗预计参与新增适应症谈判，还有“二进宫”的“天价”CAR-T药物——复星凯特的阿基仑赛注射液、药明巨诺的瑞基奥仑赛注射液。（蓝鲸记者 王俊仙 卢阿峰）,2023-11-16
2023-11-16 02:57:01,深成指跌逾1% 下跌个股近3700只,【深成指跌逾1%】财联社11月16日电，指数走弱，深成指下挫跌逾1.00%，沪指跌0.62%，创业板指跌1.49%，BC电池、防水材料、芬太尼替代等板块指数跌幅居前，出版、小米汽车、知识产权等板块指数涨幅居前。,2023-11-16
2023-11-16 02:26:08,习近平将出席美国友好团体联合欢迎宴会并发表演讲,【习近平将出席美国友好团体联合欢迎宴会并发表演讲】当地时间11月15日晚，国家主席习近平将在美国旧金山出席美国友好团体联合举办的欢迎宴会并发表演讲。,2023-11-16
2023-11-16 02:21:07,习近平同美国总统拜登举行中美元首会晤,"【习近平同美国总统拜登举行中美元首会晤】当地时间11月15日，国家主席习近平在美国旧金山斐洛里庄园同美国总统拜登举行中美元首会晤。两国元首就事关中美关系的战略性、全局性、方向性问题以及事关世界和平和发展的重大问题坦诚深入地交换了意见。

习近平抵达斐洛里庄园时，受到拜登热情迎接。

习近平指出，当今世界正经历百年未有之大变局，中美有两种选择：一种是加强团结合作，携手应对全球性挑战，促进世界安全和繁荣。另一种是抱持零和思维，挑动阵营对立，让世界走向动荡和分裂。两种选择代表着两个方向，将决定人类前途和地球未来。作为世界上最重要的双边关系，中美关系要放在这个大背景下思考和谋划。中美不打交道是不行的，",2023-11-16
2023-11-16 02:04:11,创业板指跌逾1% 下跌个股近3200只,【创业板指跌逾1%】财联社11月16日电，指数走弱，创业板指下挫跌逾1.00%，沪指跌0.44%，深成指跌0.67%，芬太尼替代、BC电池、防水材料等板块指数跌幅居前，小米汽车、出版、知识产权等板块指数涨幅居前。,2023-11-16
2023-11-16 01:31:03,国家统计局：10月70个大中城市商品住宅销售价格环比下降城市个数略增,国家统计局：10月份，70个大中城市商品住宅销售价格环比下降城市个数略增，各线城市商品住宅销售价格环比下降、同比涨跌互现。,2023-11-16
2023-11-16 01:27:23,竞价看龙头：银宝山新一字涨停晋级5连板,【竞价看龙头：银宝山新一字涨停晋级5连板】财联社11月16日电，市场焦点股天威视讯（10天8板）低开6.68%，芯片产业链的皇庭国际（7板）平开、至正股份（6天4板）低开1.38%，阿尔茨海默病检测的西陇科学（6天5板）低开5.01%，汽车产业链的银宝山新（4板）竞价涨停、统一股份（5天3板）高开0.83%，外贸出口概念股三柏硕（4板）竞价涨停、开创电气（创业板3板）低开5.89%，光伏板块龙高股份（4板）竞价涨停，华为鸿蒙概念股传智教育（3板）高开4.17%、延华智能（2板）高开2.25%。,2023-11-16
2023-11-16 01:26:41,小米汽车现身新一期工信部目录 概念股集体高开,【小米汽车现身新一期工信部目录 概念股集体高开】财联社11月16日电，奥特佳竞价涨停，凯众股份接近涨停，津荣天宇涨超10%，鹏翎股份、海泰科、模塑科技、祥鑫科技等集体高开。消息面上，小米汽车日前现身新一期工信部目录，申报企业名称为北汽集团。小米汽车生产资质“借用”北汽集团，由自建工厂生产。,2023-11-16
2023-11-16 01:25:15,三大指数集体低开,【三大指数集体低开】财联社11月16日电，沪指低开0.19%，深成指低开0.24%，创业板指低开0.16%，小米汽车、一汽系、陶瓷产业等板块指数涨幅居前，算力租赁、先进封装Chiplet、eSIM等板块指数跌幅居前。,2023-11-16
2023-11-16 01:21:55,央行公开市场净投放1750亿元,财联社11月16日电，央行今日进行3770亿元7天期逆回购操作，中标利率为1.80%，与此前持平。,2023-11-16
2023-11-16 01:15:01,短期健康险监管再收紧：不得开发保障无定价基础的单一病种责任产品,【短期健康险监管再收紧：不得开发保障无定价基础的单一病种责任产品】财联社11月16日电，记者获悉，近日监管部门向相关保险公司传达了关于部分短期健康险产品开发规则的通知，以进一步规范短期健康保险业务经营，防范噱头营销，发挥健康保险保障作用。通知要求，保障一般医疗费用的医疗保险，最高保额不得超过600万，其中因癌症住院产生的医疗费用保障不得超过300万。保障私立医院或海外就医医疗费用的医疗保险，最高保额一般不得超过800万。通知还要求不得开发保障无定价基础的单一病种责任产品。对于有一定数据基础的慢病管理产品，在风险可控的前提下，允许公司进行一定尝试并加强同监管的沟通。此外，医疗保险免赔额一般不得高,2023-11-16
2023-11-16 00:26:13,财联社11月16日早间新闻精选,"【财联社11月16日早间新闻精选】
1、当地时间11月15日，国家主席习近平在美国旧金山斐洛里庄园同美国总统拜登举行中美元首会晤。两国元首就事关中美关系的战略性、全局性、方向性问题以及事关世界和平和发展的重大问题坦诚深入地交换了意见。两国元首同意推动和加强中美各领域对话合作，包括：建立人工智能政府间对话；成立中美禁毒合作工作组，开展禁毒合作；在平等和尊重基础上恢复两军高层沟通、中美国防部工作会晤、中美海上军事安全磋商机制会议，开展中美两军战区领导通话；同意明年早些时候进一步大幅增加航班；扩大教育、留学生、青年、文化、体育和工商界交流，等等。
2、小米汽车日前现身新一期工信部目录，申报企业名称为",2023-11-16
2023-11-15 23:49:23,投资日历：周四资本市场大事提醒,"【投资日历：周四资本市场大事提醒】
①今日暂无新股申购。
②国家发展改革委11月份新闻发布会定于11月16日10:00召开。
③第七届丝绸之路国际博览会暨中国东西部合作与投资贸易洽谈会将于11月16日至20日在陕西省西安市举办。
④第三届世界一流港口多式联运大会将于11月16日至17日举办。
⑤美国科技公司Humane官宣其人工智能助手产品“ Ai Pin”，美国地区11月16日开始下单。
⑥第十一届亚太金融峰会将于11月16日在澳大利亚悉尼举行。
⑦第30届中国国际广告节将于11月16日至19日在厦门举办。
⑧第十二届中国上市公司高峰论坛将于11月16日至18日举行。
⑨2023·小米IoT",2023-11-16
2023-11-15 23:28:58,习近平同美国总统拜登举行中美元首会晤,"【习近平同美国总统拜登举行中美元首会晤】当地时间11月15日，国家主席习近平在美国旧金山斐洛里庄园同美国总统拜登举行中美元首会晤。两国元首就事关中美关系的战略性、全局性、方向性问题以及事关世界和平和发展的重大问题坦诚深入地交换了意见。

习近平指出，当今世界正经历百年未有之大变局，中美有两种选择：一种是加强团结合作，携手应对全球性挑战，促进世界安全和繁荣。另一种是抱持零和思维，挑动阵营对立，让世界走向动荡和分裂。两种选择代表着两个方向，将决定人类前途和地球未来。作为世界上最重要的双边关系，中美关系要放在这个大背景下思考和谋划。中美不打交道是不行的，想改变对方是不切实际的，冲突对抗的后果是谁都不",2023-11-16
2023-11-15 23:17:12,习近平同拜登散步交谈,【习近平同拜登散步交谈】当地时间11月15日下午，宴会后，习近平主席同拜登总统在斐洛里庄园散步交谈。,2023-11-16
2023-11-15 22:29:33,周四你需要知道的隔夜全球要闻,"【周四你需要知道的隔夜全球要闻】
1、美股三大指数集体收涨，道指涨0.47%，标普500指数涨0.16%，纳指涨0.07%。英伟达跌超1%，止步十连涨；微软续创收盘新高。欧洲主要股指集体收涨，德国DAX30指数涨0.86%。
2、美国参议院共和党议员John Thune表示，参议院接近就临时拨款法案达成共识。
3、舒默表示在努力促使参议院加快通过权宜支出法案。
4、亚特兰大联储GDPNow模型预计美国第四季度GDP增速为2.2%，此前预计为2.1%。
5、世界气象组织报告显示，温室气体浓度再创历史新高。
6、国际原子能机构报告称，伊朗增加了20%的低浓度浓缩铀库存。
7、伊朗俄罗斯举行会谈，讨",2023-11-16
